danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,mood
0.414,0.416,-8.024,0.0251,0.1,0.179,0.131,0.196,159.91,186268,0
0.745,0.682,-5.85,0.0964,0.131,0,0.119,0.198,135.065,218213,0
0.354,0.456,-11.524,0.147,0.316,1.39E-05,0.115,0.246,155.712,231618,0
0.513,0.661,-6.419,0.24,0.161,0,0.246,0.179,94.791,209213,0
0.329,0.167,-13.103,0.0296,0.913,9.56E-05,0.0921,0.0995,74.174,219227,0
0.461,0.593,-4.954,0.0356,0.17,0,0.307,0.175,134.17,228373,0
0.774,0.253,-9.61,0.0491,0.334,1.36E-06,0.221,0.606,92.122,148973,0
0.552,0.603,-5.71,0.0334,0.199,0,0.151,0.231,139.908,232720,0
0.664,0.637,-7.048,0.141,0.0509,0,0.32,0.227,182.084,134506,0
0.407,0.317,-7.895,0.0429,0.845,2.66E-06,0.139,0.216,81.899,269493,0
0.273,0.249,-9.066,0.0291,0.311,6.40E-06,0.122,0.191,94.141,365929,0
0.44,0.446,-9.928,0.031,0.39,0.569,0.179,0.201,127.372,475093,0
0.39,0.448,-8.57,0.0276,0.8,0.182,0.107,0.077,144.89,183103,0
0.559,0.422,-11.89,0.195,0.701,1.99E-06,0.0853,0.191,74.002,286928,0
0.619,0.523,-6.876,0.279,0.787,0,0.128,0.132,121.957,205082,0
0.417,0.395,-11.416,0.029,0.505,0.0272,0.113,0.178,105.841,303653,0
0.349,0.348,-6.142,0.0316,0.726,0,0.12,0.0886,74.541,246587,0
0.784,0.627,-5.009,0.0337,0.314,4.81E-05,0.253,0.818,100.967,249505,0
0.597,0.131,-20.367,0.033,0.922,0.206,0.25,0.524,133.827,154213,0
0.576,0.39,-7.202,0.0297,0.491,0,0.111,0.319,73.433,230267,0
0.657,0.355,-12.044,0.0714,0.694,0.000427,0.123,0.0808,74.99,189000,0
0.921,0.537,-5.723,0.0804,0.556,0.00404,0.102,0.711,128.009,135090,0
0.724,0.569,-6.21,0.0791,0.537,0,0.106,0.445,97.995,200733,0
0.209,0.412,-9.733,0.0443,0.172,0.15,0.0843,0.162,86.26,305747,0
